title,title_clean,release_year,budget,revenue,genres_clean,on_netflix
Toy Story,toy story,1995,30000000.0,373554033.0,"Animation, Comedy, Family",False
Jumanji,jumanji,1995,65000000.0,262797249.0,"Adventure, Fantasy, Family",False
Waiting to Exhale,waiting to exhale,1995,16000000.0,81452156.0,"Comedy, Drama, Romance",False
Father of the Bride Part II,father of the bride part ii,1995,,76578911.0,Comedy,False
Heat,heat,1995,60000000.0,187436818.0,"Action, Crime, Drama, Thriller",False
Sabrina,sabrina,1995,58000000.0,,"Comedy, Romance",False
Sudden Death,sudden death,1995,35000000.0,64350171.0,"Action, Adventure, Thriller",False
GoldenEye,goldeneye,1995,58000000.0,352194034.0,"Adventure, Action, Thriller",True
The American President,the american president,1995,62000000.0,107879496.0,"Comedy, Drama, Romance",True
Balto,balto,1995,,11348324.0,"Family, Animation, Adventure",True
Nixon,nixon,1995,44000000.0,13681765.0,"History, Drama",False
Cutthroat Island,cutthroat island,1995,98000000.0,10017322.0,"Action, Adventure",False
Casino,casino,1995,52000000.0,116112375.0,"Drama, Crime",False
Sense and Sensibility,sense and sensibility,1995,16500000.0,135000000.0,"Drama, Romance",False
Four Rooms,four rooms,1995,4000000.0,4300000.0,"Crime, Comedy",False
Ace Ventura: When Nature Calls,ace ventura: when nature calls,1995,30000000.0,212385533.0,"Crime, Comedy, Adventure",False
Money Train,money train,1995,60000000.0,35431113.0,"Action, Comedy, Crime",False
Get Shorty,get shorty,1995,30250000.0,115101622.0,"Comedy, Thriller, Crime",False
Assassins,assassins,1995,50000000.0,30303072.0,"Action, Adventure, Crime, Thriller",False
Leaving Las Vegas,leaving las vegas,1995,3600000.0,49800000.0,"Drama, Romance",False
Now and Then,now and then,1995,12000000.0,27400000.0,"Comedy, Drama, Family",True
The City of Lost Children,the city of lost children,1995,18000000.0,1738611.0,"Fantasy, Science Fiction, Adventure",False
Dangerous Minds,dangerous minds,1995,,180000000.0,"Drama, Crime",False
Twelve Monkeys,twelve monkeys,1995,29500000.0,168840000.0,"Science Fiction, Thriller, Mystery",False
Babe,babe,1995,30000000.0,254134910.0,"Fantasy, Drama, Comedy, Family",False
Dead Man Walking,dead man walking,1995,11000000.0,39363635.0,Drama,False
Clueless,clueless,1995,12000000.0,,"Comedy, Drama, Romance",False
"Cry, the Beloved Country","cry, the beloved country",1995,,676525.0,Drama,False
Dead Presidents,dead presidents,1995,10000000.0,,"Action, Crime, Drama, History",False
Restoration,restoration,1995,19000000.0,,"Drama, Romance",False
Mortal Kombat,mortal kombat,1995,18000000.0,122195920.0,"Action, Fantasy",True
To Die For,to die for,1995,20000000.0,21284514.0,"Fantasy, Drama, Comedy, Thriller",False
How To Make An American Quilt,how to make an american quilt,1995,10000000.0,23574130.0,"Drama, Romance",True
Se7en,se7en,1995,33000000.0,327311859.0,"Crime, Mystery, Thriller",False
Pocahontas,pocahontas,1995,55000000.0,346079773.0,"Adventure, Animation, Drama, Family",False
The Usual Suspects,the usual suspects,1995,6000000.0,23341568.0,"Drama, Crime, Thriller",False
Mighty Aphrodite,mighty aphrodite,1995,15000000.0,6700000.0,"Comedy, Romance",False
Home for the Holidays,home for the holidays,1995,,17519169.0,"Comedy, Drama, Romance",False
The Indian in the Cupboard,the indian in the cupboard,1995,45000000.0,,"Adventure, Family, Fantasy",True
Eye for an Eye,eye for an eye,1996,20000000.0,,"Drama, Thriller",False
Mr. Holland's Opus,mr. holland's opus,1995,,106269971.0,"Music, Drama, Family",False
Bio-Dome,bio-dome,1996,15000000.0,,Comedy,False
Lawnmower Man 2: Beyond Cyberspace,lawnmower man 2: beyond cyberspace,1996,,2409225.0,"Action, Science Fiction",False
Friday,friday,1995,3500000.0,28215918.0,Comedy,False
From Dusk Till Dawn,from dusk till dawn,1996,19000000.0,25836616.0,"Horror, Action, Thriller, Crime",False
Fair Game,fair game,1995,50000000.0,11534477.0,"Action, Thriller, Romance",False
Kicking and Screaming,kicking and screaming,1995,,718490.0,"Comedy, Drama, Romance",True
Bed of Roses,bed of roses,1996,,19030691.0,"Drama, Romance",False
Big Bully,big bully,1996,15000000.0,2042530.0,"Comedy, Family",False
Screamers,screamers,1995,20000000.0,5781885.0,"Horror, Science Fiction",False
The Juror,the juror,1996,44000000.0,,"Drama, Thriller",False
Things to Do in Denver When You're Dead,things to do in denver when you're dead,1995,8000000.0,529766.0,"Drama, Crime",False
Antonia's Line,antonia's line,1995,900000.0,,"Drama, Comedy",False
White Squall,white squall,1996,38000000.0,10300000.0,"Action, Drama",False
Dunston Checks In,dunston checks in,1996,16000000.0,,"Adventure, Comedy, Family",False
Black Sheep,black sheep,1996,,32.0,Comedy,False
Nick of Time,nick of time,1995,8169363.0,8175346.0,"Crime, Drama, Thriller",False
Mary Reilly,mary reilly,1996,47000000.0,12379402.0,"Drama, Horror, Thriller, Romance",False
Vampire in Brooklyn,vampire in brooklyn,1995,14000000.0,19800000.0,"Comedy, Horror, Romance",False
Broken Arrow,broken arrow,1996,50000000.0,150270147.0,"Action, Adventure, Drama, Thriller",False
La Haine,la haine,1995,3000000.0,,Drama,False
Bottle Rocket,bottle rocket,1996,7000000.0,560069.0,"Comedy, Crime, Drama",False
Unforgettable,unforgettable,1996,18000000.0,,"Drama, Mystery, Science Fiction, Thriller",False
Happy Gilmore,happy gilmore,1996,12000000.0,41205099.0,Comedy,False
The Bridges of Madison County,the bridges of madison county,1995,24000000.0,182016617.0,"Drama, Romance",False
Muppet Treasure Island,muppet treasure island,1996,,34327391.0,"Action, Comedy, Music, Family, Adventure",False
Braveheart,braveheart,1995,72000000.0,210000000.0,"Action, Drama, History, War",False
Taxi Driver,taxi driver,1976,1300000.0,28262574.0,"Crime, Drama",False
Rumble in the Bronx,rumble in the bronx,1995,7500000.0,32392047.0,"Crime, Action, Comedy, Thriller",True
Before and After,before and after,1996,35000000.0,,"Drama, Thriller",False
Happiness Is in the Field,happiness is in the field,1995,13365000.0,,Comedy,False
Anne Frank Remembered,anne frank remembered,1995,,1.0,"Documentary, Drama, Foreign",False
Steal Big Steal Little,steal big steal little,1995,25000000.0,6278139.0,"Comedy, Drama",False
Boomerang,boomerang,1992,40000000.0,70100000.0,"Comedy, Romance",False
Flirting with Disaster,flirting with disaster,1996,7000000.0,14702438.0,"Comedy, Romance",False
The Neverending Story III: Escape from Fantasia,the neverending story iii: escape from fantasia,1994,17000000.0,,Fantasy,False
Jade,jade,1995,50000000.0,9851610.0,"Action, Thriller, Mystery, Romance",False
Man of the Year,man of the year,1995,,209935.0,Comedy,False
Up Close & Personal,up close & personal,1996,60000000.0,,"Drama, Romance",False
The Birdcage,the birdcage,1996,31000000.0,185260553.0,Comedy,False
Bad Boys,bad boys,1995,19000000.0,141407024.0,"Action, Comedy, Crime, Thriller",True
An Awfully Big Adventure,an awfully big adventure,1995,4000000.0,851545.0,"Romance, Drama, Comedy",False
Apollo 13,apollo 13,1995,52000000.0,355237933.0,Drama,False
Rob Roy,rob roy,1995,28000000.0,31596911.0,Adventure,False
Batman Forever,batman forever,1995,100000000.0,336529144.0,"Action, Crime, Fantasy",False
Blue in the Face,blue in the face,1995,2000000.0,1275000.0,Comedy,False
Canadian Bacon,canadian bacon,1995,11000000.0,178104.0,"Action, Comedy",False
Casper,casper,1995,50000000.0,287928194.0,"Fantasy, Comedy, Family",False
Clockers,clockers,1995,25000000.0,13071518.0,"Mystery, Crime, Drama",False
Congo,congo,1995,50000000.0,152022101.0,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",True
Crimson Tide,crimson tide,1995,53000000.0,157387195.0,"Action, Thriller, Drama",False
Crumb,crumb,1994,,3174695.0,Documentary,False
Desperado,desperado,1995,7000000.0,25405445.0,"Thriller, Action, Crime",False
Devil in a Blue Dress,devil in a blue dress,1995,27000000.0,16140822.0,"Drama, Mystery, Thriller",False
Die Hard: With a Vengeance,die hard: with a vengeance,1995,90000000.0,366101666.0,"Action, Thriller",False
First Knight,first knight,1995,55000000.0,127600435.0,"Action, Adventure, Drama, Romance",False
Hackers,hackers,1995,20000000.0,7563728.0,"Action, Crime, Thriller, Drama",False
Johnny Mnemonic,johnny mnemonic,1995,25000000.0,19075720.0,"Adventure, Action, Drama, Science Fiction, Thriller",False
Judge Dredd,judge dredd,1995,90000000.0,113493481.0,Science Fiction,False
Jury Duty,jury duty,1995,,17014653.0,"Comedy, Drama",False
Kids,kids,1995,1500000.0,7412216.0,"Drama, Crime",False
Living in Oblivion,living in oblivion,1995,500000.0,1148752.0,"Drama, Comedy",False
